PerformanceId,JokeId,Pitch,PitchStd,Intensity,IntensityStd,HumanScore,HumanScorePostJokeOnly
0,3,0,0,71.36835476740207,1.170110604285938,-1,-1
0,4,233.20463580365225,19.239061352765304,76.23359642086136,4.9907418961689025,1,1
0,6,248.37154112686315,36.57716176218683,81.60643136748646,7.897172110127229,1,1
0,7,232.0575901318505,47.30286742305227,81.53938101421622,3.989067185908193,1,-1
0,8,148.81163541510057,1.2417730425284383,72.90457429878248,2.36682147845293,-1,-1
0,9,250.15751750809915,32.60238431733071,72.80929348526358,2.8449705277249673,0,0
0,10,221.17971071848976,61.213052101957,79.949359769092,6.983540826234162,0,0
0,11,247.41289644513154,39.09802154873737,83.24895174415263,5.6390075926015175,1,1
0,12,217.616918961424,50.857117189608374,72.61396486873676,2.8894811932992237,0,0
0,13,214.2593759223603,6.353269435168219,72.17015036432367,2.306271895773441,-1,-1
0,14,0,0,71.52639893001587,1.7245308966449777,-1,-1
0,15,235.6042445661262,18.506595451649304,79.93529023189294,5.980159700575956,1,1
0,16,0,0,71.44383165326407,1.6382580537337692,-1,-1
0,17,157.41839119532375,21.116964439446324,78.61854166286629,6.601262116219833,1,1
0,18,221.75972887108693,60.16296348498817,79.1428514574443,7.080094306717451,0,0
0,20,225.7887006460963,32.344660608352385,75.52608397407701,4.8025628668169045,0,0
0,29,193.45287067459486,6.83446757673753,72.72988066838782,2.307302887663258,1,0
1,3,173.59941414648668,58.15018434448628,73.87416482488139,2.6015506470317398,-1,-1
1,4,87.08728930894533,5.666596144200294,78.58010299806463,6.605374015846194,1,1
1,7,0,0,68.87930671571671,2.286809304930964,-1,-1
1,8,176.3568153673841,8.609266751887464,70.54078639014355,2.857633514124475,-1,-1
1,9,209.09441345993616,41.330165728102294,71.73775353316873,5.315601142507733,0,0
1,10,202.69971797646372,25.18492146405186,73.76984582304365,6.530041301089498,1,1
1,11,191.19585234241444,44.18310435554884,71.17773281948418,3.8349388193252847,0,0
1,12,180.93276435458063,25.96468011544199,69.01003479466534,1.9134418478589112,-1,-1
1,13,0,0,68.68291924457434,2.442975276062989,-1,-1
1,14,213.94451070454855,49.84760053880314,69.89918349481059,2.554370090388699,-1,-1
1,15,0,0,68.0309531405429,2.4844385306539816,-1,-1
1,16,144.1785469710506,23.811528290535286,70.87649120932207,2.928379364018123,0,0
1,17,181.76642968958245,18.55219601388449,70.03723302831814,3.33126613009115,0,0
1,18,208.15453011352042,51.81370507545694,77.5001798696288,6.432195369714172,1,1
1,19,0,0,68.34413943970858,2.0146687667985197,-1,-1
1,20,210.5671185370616,10.50198792900133,71.05049346668928,3.7270991994337486,-1,-1
1,29,178.78129038930885,46.28062605374362,78.09872125257776,5.753004193535593,1,1
2,3,243.76934579723587,14.996803650132358,72.29758227469395,3.8758454935427054,1,-1
2,6,246.9660249427898,49.02370647820288,72.55811346499988,6.032698266904916,1,1
2,7,243.24727421946855,62.66339214430493,70.8113390248042,4.510487954662576,1,1
2,8,276.8567386684042,19.94843599119785,68.76862048441753,1.9755780797438565,-1,-1
2,9,0,0,68.17819236003645,1.6852165620126491,0,-1
2,10,241.56223933400378,38.35137670953802,72.07081924303812,5.871257516661744,1,1
2,11,193.8807500875403,74.30411808714673,70.65926250038706,4.51700597490509,1,1
2,12,212.15547045988885,2.976311172830221,69.11358789056364,2.415711613543845,-1,-1
2,13,195.76785511745828,68.50446866066669,69.54003666271656,2.8890142086537427,-1,-1
2,14,191.51742331983104,0.29423531667838637,69.36644268108952,3.1426269923955235,-1,-1
2,15,128.76445208575177,58.473259268255745,70.52830638486883,3.952760178694635,0,0
2,16,239.48095247935757,34.82766515538112,70.68054226157348,3.3020640826962566,0,0
2,21,216.6962008562066,52.520186896684656,70.91579896566505,3.843696854056148,0,0
2,22,238.86833794748003,43.97251101552656,75.01554162822856,6.7637664381360185,1,1
2,23,238.1407960943958,3.3737400822941117,69.60877452085734,3.0193195921658047,-1,-1
2,24,176.48470720892746,78.18009844828845,70.62127817526545,4.104167569981759,0,0
2,25,204.5237416112762,50.14522257060214,71.03876580159142,5.331487581588065,1,1
2,26,164.27947644386813,70.42190325684868,69.33703568740144,3.0046193460455797,0,0
2,27,162.76005119517404,55.576880954699966,75.06659525761181,6.529979036476126,1,1
2,18,0,0,68.24541572295882,1.7008208862900576,-1,-1
2,20,157.72699632673806,63.4556108700983,69.16173611347085,2.4704327594318345,-1,-1
2,29,196.59460320234342,45.36229792954023,71.86058269795339,4.325248003901221,1,0
3,3,165.51358120853567,3.452877086370886,69.87276359550995,3.7462243312789876,-1,-1
3,4,202.7683821790189,10.991295245016422,69.626916011608,2.869540025927097,1,1
3,5,215.23665257784586,29.76954069643536,68.94442311806381,2.8772987919298867,-1,-1
3,6,213.6450121747968,19.033806985381073,70.51566781742191,4.590547881808487,1,1
3,7,226.5654529417553,47.876760043533096,68.57152552327067,2.4153622937603014,0,0
3,8,216.44032615147248,50.40914299027635,68.80711891036941,2.4682900675306567,-1,-1
3,9,156.13515294044902,51.66647847108931,68.12162967762458,1.7540999080105621,-1,-1
3,10,217.7447029525184,19.48524241411226,68.43650517565203,2.138030825330566,-1,-1
3,11,183.52205229059217,39.996883085952696,69.75871279993365,3.244636762833384,0,0
3,18,197.32868060497296,2.4412374880068004,68.32023106641408,2.072782669975891,0,0
3,20,0,0,67.89440448945459,1.574248082646391,-1,-1
3,21,207.8152336183001,63.607069693257344,68.23737631596441,2.6116850457446112,0,-1
3,22,231.49895062434763,14.617675166807624,67.9032348448084,2.0667410097885197,-1,-1
3,23,211.73654297788372,5.346894219081884,67.69097669815919,1.5259645485068691,-1,-1
3,24,273.25973279167516,8.110069212033315,68.05476730154837,1.6055036535962683,-1,-1
3,25,236.91105755427387,8.646827373139287,68.31403752889365,1.8181425445832937,-1,-1
3,26,252.16230127234562,11.731828807464883,68.3556730140666,1.9200000182409738,-1,-1
3,27,230.89092019840044,45.87682646276229,72.83800402710526,5.044164489281442,1,1
3,28,212.8149368814565,37.507352744671024,74.83567280938665,7.49371505528122,1,1
3,29,215.03164948390042,66.18775424368002,74.84786677587564,5.783413762626582,1,1
4,3,206.50156015804137,64.07727144471909,73.22002555618134,4.238891616193481,0,-1
4,4,217.27976648948268,43.23217101657501,79.10208673324725,7.3147729967972515,1,1
4,5,174.4203649425723,72.78948697178545,70.98163213204757,4.246372140353637,0,0
4,10,229.99152396100374,15.875222994126995,70.77207561959474,2.7940505902540753,0,0
4,21,175.9582642216456,1.0964051108908073,69.64348650557135,2.100606400949722,0,-1
4,22,194.90376432394012,25.7035968248508,71.2634497301288,4.313801652638884,0,0
4,23,0,0,70.37771398161387,1.6761868642793514,-1,-1
4,24,190.3089073758106,41.10547365528238,72.11764358842213,3.6944724411495593,0,0
4,25,166.0214643441715,0.22461074722709345,70.05056459176258,2.253830908399079,-1,-1
4,26,160.0370162747447,3.549973522766043,69.81151425281273,1.7629641302892045,-1,-1
4,27,225.61800310887367,26.181733703494494,73.46418269209927,5.5889434629142665,1,1
4,28,193.197537419,53.376531513425114,76.38053223183464,7.499317842543797,1,1
4,29,188.21755770688395,28.911705029171532,85.96536818450167,5.245511904203243,1,1
5,3,230.5903201067934,56.80593947965701,74.63527443097314,5.460670246909732,0,0
5,4,0,0,74.81806026419449,6.85307339314377,1,1
5,5,202.64725277873598,57.37815427579874,73.83303553401221,6.234810573652648,1,1
5,10,203.72462374046262,53.44595966938206,77.18337229448035,8.595225653304112,1,1
5,21,210.7972722491933,58.13007053486798,77.73513703352877,8.07817692857492,1,1
5,22,214.88784090554523,33.60193120724853,76.11714697738172,5.921911770251226,1,1
5,23,206.78228155019244,58.41121726831323,73.31291106832884,6.046400639852856,1,1
5,24,0,0,67.52835344911955,1.5211475907177232,0,-1
5,29,226.03176785259967,29.75043268914587,77.958415927565,6.413468218277088,1,1
6,3,252.8214401462912,4.751694788451583,68.65472779210754,2.2142400777231352,-1,-1
6,4,0,0,78.88245987623087,8.632537951004242,1,1
6,5,216.40323626910896,40.870594474132304,69.31688591054714,3.7389751029588765,0,0
6,6,226.37433205877235,15.81368045640236,76.01495219046373,7.759303362439102,1,1
6,7,217.5204475373291,57.76205347079759,73.68945482068337,7.77739609325152,1,1
6,8,250.57728345949363,8.532076436127605,70.86227615107379,4.877070543348545,0,0
6,9,231.65148958940512,20.436527060752564,72.35956676505148,5.704536873640976,1,1
6,10,273.46770882692533,10.564120123407795,72.29219815614576,4.576588805346064,0,0
6,11,223.12492437005878,81.59254262785755,76.78227860642303,8.458475475189703,1,1
6,12,0,0,67.77198941635191,1.375611872061164,-1,-1
6,13,192.39662385141392,49.12300089094167,70.4724605657004,4.526286127262232,-1,-1
6,14,184.64068937759583,73.86455107981767,71.94211974420568,5.216198554069905,0,0
6,15,175.4750199946681,52.14680964088823,70.18561736301348,3.5239193371693593,-1,-1
6,16,0,0,67.65003979594536,1.4047883983214882,-1,-1
6,17,225.97283130646585,87.80115750587633,69.14790440876139,3.0118215071084937,-1,-1
6,18,229.18691758306983,42.23905353969054,73.59223282327238,6.862358585051946,1,1
6,19,0,0,67.66696945785868,1.4331664909952155,-1,-1
6,20,144.62096018794324,63.409455272638766,73.9500845669585,6.730651616645471,0,0
6,21,217.41294995093767,65.58762974233491,75.238117076003,5.226978425398714,1,1
6,22,191.30360184490624,56.37375910533811,72.72630923831314,5.832064919006865,1,1
6,23,208.28621085707505,53.82562728149463,73.57172099931118,5.389542360667555,1,1
6,24,193.31623688440445,58.335096358099555,72.3162694246326,6.554412814069963,1,1
6,25,218.44234534391407,73.41850875066164,70.46688939996623,4.065773145943558,-1,-1
6,26,279.3608951416043,18.937516165229173,68.70536512774923,2.6308689553203997,-1,-1
6,27,216.86111790867554,36.261058465405405,73.96167456073101,7.9258627595069315,1,1
6,28,221.47094607658696,51.12443670516503,74.93106784260684,7.42414852934314,1,1
6,29,217.15164798341138,54.268470377427555,80.2818072623165,6.8281577001914915,1,1
7,3,192.60371338449266,63.221717435840134,79.51375069918939,5.223607516082264,1,-1
7,4,0,0,87.53012586284395,5.596514305020199,1,1
7,5,205.16000109216856,51.7174141040646,75.00679242079374,7.848750391896724,1,1
7,10,181.9362565982588,48.885560251465016,85.97681941958636,4.159731024400417,1,1
7,21,216.10163211174978,45.55683646216518,78.95931168884523,8.0242783590307,1,1
7,22,127.35333986404484,32.24537825314551,74.75238176476887,8.494399438264484,1,1
7,23,197.86226418040295,57.56274712478724,72.44857390359923,6.868216423442452,1,0
7,24,160.4014962699769,75.59732290524897,74.98002092023847,6.259428458630544,1,1
7,25,208.03498423673054,2.2087365022081356,69.32496161636341,3.4769308389242077,-1,-1
7,26,217.87020106185605,22.48399432780711,72.22176284835581,5.3913653897950455,0,0
7,27,213.41472894861639,47.06350191998664,73.33239829394442,6.486907226719016,1,1
7,28,203.5524008634934,0.5948229726560388,67.7751751329042,1.3571345187135775,1,-1
7,29,220.18721463671847,65.8205149848222,81.11742265531348,9.9201146960837,1,1
8,3,129.4755584637725,41.35968896073803,70.01800825859335,3.051847053670686,0,-1
8,4,268.7288060056978,18.656801489044632,73.2452668935558,5.952773891239655,1,1
8,115,174.0696794848371,13.771191772361739,71.82700000459396,4.172943259305558,0,0
8,5,256.3503999969847,34.7067115852279,69.664622215662,2.72301407304709,0,0
8,6,149.40052785553848,9.956408327288065,69.74233058693525,2.5108877164881673,-1,-1
8,7,195.8348928175545,26.425372877089675,71.23724121188162,3.3131236283429257,-1,-1
8,8,146.1436997230861,0.5056300569622459,69.58739489865395,1.701434289958996,-1,-1
8,135,0,0,68.89159581120617,1.310664700054988,-1,-1
8,9,195.89320954429195,49.69990477285273,72.75721915309983,4.2574742071681,0,0
8,10,190.07343450629418,29.818279127824635,77.45924117805245,5.737535438630957,1,1
8,117,203.04409624501983,49.667215105661285,69.38210103676076,2.2047123838986153,0,0
8,11,159.33061900284022,35.58641251269242,72.16666121943663,5.149871428992507,0,0
