Overall results:

Brian_ground_truths.csv            0.8933962264150943    (947 matches, 113 diffs)
2019-09-21 Laugh Track Town USA                             0.8529411764705882    (29 matches, 5 diffs)
2019-09-28 OSU Cascades (Weird)                             1.0                   (36 matches, 0 diffs)
2019-10-11 Singu-hilarity                                   0.9411764705882353    (32 matches, 2 diffs)
2019-11-29 Comedy the Musical                               1.0                   (21 matches, 0 diffs)
2019-11-29 Crapshoot                                        0.9523809523809523    (20 matches, 1 diffs)
2019-12-06 Silent Background Recording                      1.0                   (60 matches, 0 diffs)
2019-12-09 Singu-Hilarity in San Francisco                  0.9642857142857143    (54 matches, 2 diffs)
2020-01-12 Singu-Hilarity in Corvallis                      0.9375                (60 matches, 4 diffs)
2020-01-25 Sam Bond_s Bleeping Funny                        0.8571428571428571    (30 matches, 5 diffs)
2020-01-29 Class Performance                                1.0                   (23 matches, 0 diffs)
2020-01-31 Mt Caz                                           0.9605263157894737    (73 matches, 3 diffs)
2020-02-19 Soundbox                                         0.9736842105263158    (74 matches, 2 diffs)
2020-03-04 Bombs Away                                       0.9444444444444444    (34 matches, 2 diffs)
