/home/sharer/all_robot_comedy/robot_comedy/2018-08-25 Flappers Showcase/
0.75 --undefined-- 68.812
1.00 --undefined-- 67.529
1.25 --undefined-- 68.821
1.50 --undefined-- 67.459
1.75 --undefined-- 67.783
2.00 --undefined-- 67.665
2.25 --undefined-- 68.157
pause_26.mp3
0.25 --undefined-- 72.049
0.50 --undefined-- 75.916
0.75 --undefined-- 73.229
1.00 211.911 79.387
1.25 --undefined-- 70.863
1.50 --undefined-- 68.755
1.75 --undefined-- 67.745
2.00 --undefined-- 66.862
2.25 --undefined-- 68.056
2.50 --undefined-- 67.751
2.75 --undefined-- 72.423
pause_27.mp3
0.25 --undefined-- 69.586
0.50 --undefined-- 68.512
0.75 --undefined-- 70.058
1.00 --undefined-- 69.435
1.25 --undefined-- 67.831
1.50 --undefined-- 68.370
1.75 --undefined-- 68.038
2.00 --undefined-- 67.511
2.25 --undefined-- 67.686
pause_28.mp3
0.25 84.272 86.331
0.50 --undefined-- 81.749
0.75 --undefined-- 76.708
1.00 --undefined-- 71.756
1.25 --undefined-- 68.239
1.50 --undefined-- 68.144
1.75 --undefined-- 66.803
2.00 --undefined-- 67.262
2.25 --undefined-- 67.211
2.50 --undefined-- 68.151
2.75 --undefined-- --undefined--
pause_29.mp3
0.25 262.822 74.349
0.50 --undefined-- 84.126
0.75 --undefined-- 78.692
1.00 --undefined-- 73.543
1.25 --undefined-- 78.447
1.50 --undefined-- 71.917
1.75 --undefined-- 67.833
2.00 --undefined-- 69.972
2.25 --undefined-- 67.869
2.50 --undefined-- 68.254
2.75 --undefined-- 67.433
3.00 --undefined-- 67.306
pause_3.mp3
0.25 --undefined-- 69.893
0.50 --undefined-- 69.386
0.75 --undefined-- 71.334
1.00 --undefined-- 70.382
1.25 --undefined-- 67.622
1.50 --undefined-- 69.080
1.75 --undefined-- 67.575
2.00 --undefined-- 68.335
2.25 --undefined-- 68.585
2.50 --undefined-- 67.768
2.75 --undefined-- 70.772
3.00 --undefined-- 69.030
3.25 --undefined-- 77.819
3.50 86.697 78.982
3.75 --undefined-- 67.119
4.00 --undefined-- 67.068
4.25 --undefined-- 68.618
4.50 --undefined-- 69.060
4.75 --undefined-- 67.722
pause_30.mp3
0.25 --undefined-- 72.136
