/home/sharer/all_robot_comedy/robot_comedy/2018-07-26 Giggle Bash/
2.00 --undefined-- 67.584
2.25 --undefined-- 67.370
2.50 --undefined-- 66.863
2.75 --undefined-- 67.363
3.00 --undefined-- 67.253
3.25 --undefined-- 66.993
3.50 --undefined-- 70.845
pause_22.mp3
0.25 --undefined-- 68.705
0.50 --undefined-- 68.796
0.75 --undefined-- 70.672
1.00 --undefined-- 71.128
1.25 --undefined-- 80.585
1.50 --undefined-- 77.441
1.75 266.288 72.024
2.00 --undefined-- 68.292
2.25 --undefined-- 67.127
2.50 --undefined-- 67.335
2.75 --undefined-- 67.579
3.00 --undefined-- 66.711
3.25 --undefined-- 71.386
3.50 --undefined-- 71.342
pause_23.mp3
0.25 --undefined-- 69.683
0.50 --undefined-- 70.951
0.75 --undefined-- 71.560
1.00 --undefined-- 68.075
1.25 --undefined-- 66.563
1.50 --undefined-- 68.059
1.75 --undefined-- 67.070
2.00 --undefined-- 68.342
2.25 --undefined-- 77.657
2.50 --undefined-- 71.152
2.75 --undefined-- 72.014
3.00 --undefined-- 69.029
3.25 --undefined-- 68.860
3.50 --undefined-- 67.385
3.75 --undefined-- 66.719
4.00 --undefined-- 66.978
4.25 --undefined-- 67.296
4.50 --undefined-- 66.901
4.75 --undefined-- 66.763
5.00 --undefined-- 67.796
5.25 --undefined-- 67.307
5.50 --undefined-- 66.930
pause_24.mp3
0.25 --undefined-- 67.355
0.50 --undefined-- 75.186
0.75 222.675 89.443
1.00 238.801 89.393
1.25 --undefined-- 83.362
1.50 --undefined-- 78.855
1.75 --undefined-- 74.052
2.00 --undefined-- 72.074
2.25 --undefined-- 67.951
2.50 --undefined-- 67.229
2.75 --undefined-- 67.521
3.00 --undefined-- 67.819
3.25 --undefined-- 67.719
pause_25.mp3
0.25 --undefined-- 68.960
0.50 --undefined-- 69.391
0.75 --undefined-- 68.819
1.00 --undefined-- 71.883
1.25 288.021 84.100
1.50 --undefined-- 89.723
1.75 --undefined-- 86.078
2.00 --undefined-- 88.871
2.25 276.603 90.421
2.50 258.805 84.562
2.75 --undefined-- 82.944
3.00 --undefined-- 76.011
3.25 --undefined-- 75.103
3.50 --undefined-- 68.923
3.75 --undefined-- 67.908
4.00 184.341 73.750
4.25 --undefined-- 68.157
4.50 --undefined-- 79.498
4.75 --undefined-- 73.854
5.00 256.022 79.963
5.25 --undefined-- 71.909
5.50 --undefined-- 74.712
5.75 --undefined-- 78.939
6.00 --undefined-- 69.824
6.25 --undefined-- 68.142
6.50 --undefined-- 68.557
6.75 --undefined-- 67.277
7.00 --undefined-- 73.234
7.25 --undefined-- --undefined--
pause_26.mp3
0.25 173.730 90.020
0.50 --undefined-- 78.583
0.75 263.918 81.958
1.00 --undefined-- 75.327
1.25 --undefined-- 75.070
1.50 --undefined-- 77.172
1.75 --undefined-- 68.085
2.00 --undefined-- 75.365
2.25 --undefined-- 88.367
2.50 245.900 88.115
2.75 --undefined-- --undefined--
pause_3.mp3
0.25 --undefined-- 67.162
0.50 --undefined-- 84.274
0.75 198.058 84.903
1.00 --undefined-- 86.537
1.25 --undefined-- 81.289
1.50 --undefined-- 69.682
1.75 --undefined-- 67.518
2.00 --undefined-- 68.115
2.25 231.824 75.938
2.50 --undefined-- 77.086
pause_4.mp3
0.25 --undefined-- 72.103
0.50 --undefined-- 85.401
0.75 --undefined-- 84.640
1.00 --undefined-- 81.968
1.25 246.057 81.328
1.50 --undefined-- 71.931
1.75 --undefined-- 68.074
2.00 --undefined-- 67.284
2.25 --undefined-- 68.674
2.50 --undefined-- 67.448
2.75 --undefined-- 66.861
3.00 --undefined-- --undefined--
pause_5.mp3
0.25 --undefined-- 78.896
0.50 257.437 86.076
0.75 --undefined-- 78.412
1.00 --undefined-- 74.412
1.25 --undefined-- 70.755
1.50 --undefined-- 68.838
1.75 --undefined-- 67.579
2.00 --undefined-- 67.080
