/home/sharer/all_robot_comedy/robot_comedy/2018-07-25 Quantum Mic/
2.50 --undefined-- 71.371
2.75 --undefined-- 69.845
3.00 --undefined-- 68.547
3.25 --undefined-- 69.488
3.50 --undefined-- 68.506
3.75 --undefined-- 68.809
4.00 --undefined-- 68.575
pause_4.mp3
0.25 --undefined-- 71.664
0.50 --undefined-- 73.703
0.75 --undefined-- 70.310
1.00 --undefined-- 69.682
1.25 --undefined-- 68.794
1.50 --undefined-- 68.701
1.75 --undefined-- 68.326
2.00 --undefined-- 68.135
2.25 --undefined-- 67.856
2.50 --undefined-- 69.555
pause_5.mp3
0.25 167.765 82.815
0.50 164.851 75.550
0.75 --undefined-- 69.209
1.00 --undefined-- 69.953
1.25 --undefined-- 69.061
1.50 --undefined-- 69.398
1.75 --undefined-- 68.689
2.00 --undefined-- 69.435
2.25 --undefined-- 68.107
2.50 --undefined-- 69.011
pause_6.mp3
0.25 --undefined-- 71.403
0.50 --undefined-- 72.165
0.75 --undefined-- 71.340
1.00 --undefined-- 69.087
1.25 --undefined-- 71.147
1.50 --undefined-- 68.991
1.75 --undefined-- 71.880
2.00 --undefined-- 69.280
2.25 --undefined-- 69.631
2.50 --undefined-- 69.515
pause_7.mp3
0.25 --undefined-- 72.024
0.50 158.705 74.077
0.75 --undefined-- 71.497
1.00 --undefined-- 70.794
1.25 --undefined-- 73.740
1.50 --undefined-- 69.941
1.75 --undefined-- 73.259
2.00 --undefined-- 71.678
2.25 --undefined-- 74.722
2.50 --undefined-- 69.536
2.75 --undefined-- 70.482
3.00 --undefined-- 70.264
3.25 --undefined-- 73.486
3.50 --undefined-- 74.016
3.75 --undefined-- 78.840
4.00 --undefined-- 74.142
4.25 --undefined-- 71.647
4.50 --undefined-- 73.182
4.75 --undefined-- 70.471
5.00 --undefined-- 69.466
5.25 --undefined-- 70.028
5.50 --undefined-- 68.509
5.75 --undefined-- 69.818
6.00 --undefined-- 68.824
6.25 --undefined-- 68.937
6.50 --undefined-- 69.286
6.75 --undefined-- 71.200
pause_8.mp3
0.25 --undefined-- 69.400
0.50 --undefined-- 69.936
0.75 --undefined-- 68.967
1.00 --undefined-- 68.663
1.25 --undefined-- 70.328
1.50 --undefined-- 76.364
1.75 --undefined-- 69.991
2.00 --undefined-- 73.967
2.25 --undefined-- 75.609
2.50 --undefined-- 70.780
2.75 --undefined-- 69.368
3.00 --undefined-- 69.705
3.25 --undefined-- 69.408
3.50 --undefined-- 69.824
3.75 --undefined-- 68.755
4.00 --undefined-- 68.694
4.25 --undefined-- 68.154
4.50 --undefined-- 69.107
4.75 --undefined-- 71.871
pause_9.mp3
0.25 --undefined-- 68.860
0.50 --undefined-- 71.201
0.75 --undefined-- 72.820
1.00 --undefined-- 70.245
1.25 --undefined-- 69.241
1.50 --undefined-- 69.573
1.75 --undefined-- 69.142
2.00 --undefined-- 69.702
2.25 --undefined-- 71.266
2.50 --undefined-- 70.800
2.75 --undefined-- 69.656
3.00 --undefined-- 67.600
3.25 --undefined-- 68.427
3.50 --undefined-- 68.664
3.75 --undefined-- 68.323
4.00 --undefined-- 68.478
4.25 --undefined-- 69.453
4.50 --undefined-- 68.064
4.75 --undefined-- 68.551
5.00 --undefined-- 68.632
5.25 --undefined-- --undefined--
