/home/sharer/all_robot_comedy/robot_comedy/2018-07-25 Quantum Mic/
pause_0.mp3
0.25 --undefined-- 75.475
0.50 83.863 77.193
0.75 270.990 81.916
1.00 --undefined-- 73.105
1.25 --undefined-- 71.348
1.50 --undefined-- 68.689
1.75 --undefined-- 69.806
2.00 --undefined-- 72.140
pause_1.mp3
0.25 --undefined-- 70.335
0.50 --undefined-- 79.169
0.75 --undefined-- 83.770
1.00 75.418 87.252
1.25 --undefined-- 87.092
1.50 219.215 85.985
1.75 216.420 88.614
2.00 257.637 80.616
2.25 --undefined-- 81.526
2.50 --undefined-- 82.046
2.75 --undefined-- 78.595
3.00 --undefined-- 83.281
3.25 --undefined-- 76.403
3.50 --undefined-- 72.494
3.75 --undefined-- 73.877
4.00 --undefined-- 78.078
4.25 --undefined-- 82.236
4.50 --undefined-- 82.968
4.75 --undefined-- 73.930
5.00 --undefined-- 70.452
5.25 173.705 84.977
5.50 --undefined-- 81.374
5.75 172.686 75.329
6.00 --undefined-- 68.764
6.25 --undefined-- 68.231
6.50 --undefined-- 68.255
pause_10.mp3
0.25 222.180 77.554
0.50 251.565 84.988
0.75 --undefined-- 79.875
1.00 --undefined-- 74.265
1.25 204.605 74.309
1.50 --undefined-- 78.909
1.75 --undefined-- 73.307
2.00 --undefined-- 73.162
2.25 --undefined-- 73.106
2.50 --undefined-- 69.848
2.75 --undefined-- 70.738
3.00 --undefined-- 69.453
3.25 --undefined-- 69.708
3.50 --undefined-- 72.305
3.75 --undefined-- 68.055
4.00 --undefined-- 67.984
4.25 --undefined-- 68.277
4.50 --undefined-- 68.178
pause_11.mp3
0.25 --undefined-- 85.658
0.50 --undefined-- 89.151
0.75 --undefined-- 90.464
1.00 106.198 90.525
1.25 --undefined-- 85.267
1.50 --undefined-- 77.571
1.75 --undefined-- 75.653
2.00 212.215 78.271
2.25 --undefined-- 74.663
2.50 --undefined-- 77.811
2.75 --undefined-- 71.920
3.00 --undefined-- 71.193
3.25 --undefined-- 68.966
3.50 --undefined-- 73.286
3.75 --undefined-- 69.787
4.00 --undefined-- 70.918
4.25 --undefined-- 68.744
4.50 --undefined-- 68.269
4.75 --undefined-- --undefined--
pause_12.mp3
0.25 --undefined-- 85.181
0.50 --undefined-- 86.974
0.75 --undefined-- 83.201
1.00 --undefined-- 79.068
1.25 --undefined-- 88.951
1.50 --undefined-- 89.439
1.75 --undefined-- 89.023
2.00 --undefined-- 85.447
2.25 206.903 92.695
2.50 155.082 90.375
2.75 --undefined-- 90.550
pause_2.mp3
0.25 --undefined-- 72.933
0.50 --undefined-- 79.125
0.75 --undefined-- 80.163
1.00 --undefined-- 77.202
1.25 --undefined-- 69.509
1.50 --undefined-- 68.948
1.75 --undefined-- 68.636
2.00 --undefined-- 68.809
2.25 --undefined-- 69.632
2.50 --undefined-- 69.098
2.75 --undefined-- 67.860
3.00 --undefined-- 68.868
3.25 --undefined-- 68.496
3.50 --undefined-- 69.129
3.75 --undefined-- 67.959
4.00 --undefined-- 69.007
4.25 --undefined-- 68.374
4.50 --undefined-- 69.955
4.75 --undefined-- 67.943
5.00 --undefined-- 68.926
5.25 --undefined-- 68.578
5.50 --undefined-- 71.035
5.75 --undefined-- 73.731
6.00 --undefined-- 69.641
pause_3.mp3
0.25 --undefined-- 71.920
0.50 --undefined-- 68.100
0.75 --undefined-- 71.978
1.00 --undefined-- 69.568
1.25 --undefined-- 73.816
1.50 --undefined-- 72.396
1.75 --undefined-- 72.263
2.00 232.860 75.999
2.25 247.086 76.209
