/home/sharer/all_robot_comedy/robot_comedy/2018-10-27 Columbo Show/
pause_0.mp3
0.25 --undefined-- 68.882
0.50 --undefined-- 70.164
0.75 --undefined-- 71.021
1.00 --undefined-- 69.334
1.25 --undefined-- 69.307
1.50 --undefined-- 69.163
1.75 --undefined-- 68.961
2.00 --undefined-- 69.643
pause_1.mp3
0.25 --undefined-- 69.306
0.50 --undefined-- 71.026
0.75 --undefined-- 68.633
1.00 --undefined-- 79.366
1.25 --undefined-- 84.354
1.50 --undefined-- 89.513
1.75 --undefined-- 85.410
2.00 --undefined-- 86.353
2.25 --undefined-- 87.245
2.50 --undefined-- 83.295
2.75 --undefined-- 85.799
3.00 --undefined-- 76.174
3.25 --undefined-- 77.099
3.50 --undefined-- 80.022
3.75 --undefined-- 71.190
4.00 --undefined-- 72.526
4.25 --undefined-- 72.214
4.50 --undefined-- 68.867
4.75 --undefined-- 69.108
5.00 --undefined-- 68.647
5.25 --undefined-- 69.305
pause_10.mp3
0.25 235.750 80.144
0.50 102.174 76.203
0.75 --undefined-- 70.505
1.00 --undefined-- 71.343
1.25 --undefined-- 69.017
1.50 --undefined-- 69.107
1.75 --undefined-- 70.115
2.00 --undefined-- 70.514
2.25 --undefined-- 69.730
pause_11.mp3
0.25 --undefined-- 73.267
0.50 --undefined-- 72.886
0.75 --undefined-- 69.441
1.00 --undefined-- 71.512
1.25 221.221 79.611
1.50 --undefined-- 74.286
1.75 213.612 79.985
2.00 --undefined-- 70.403
2.25 --undefined-- 69.328
2.50 --undefined-- 71.034
2.75 --undefined-- 70.374
3.00 --undefined-- 71.337
3.25 --undefined-- 69.060
3.50 --undefined-- 70.580
pause_12.mp3
0.25 --undefined-- 68.213
0.50 --undefined-- 72.124
0.75 212.529 78.560
1.00 --undefined-- 77.935
1.25 --undefined-- 91.486
1.50 --undefined-- 89.459
1.75 --undefined-- 86.463
2.00 --undefined-- 90.202
pause_13.mp3
0.25 --undefined-- 70.325
0.50 --undefined-- 68.614
0.75 --undefined-- 69.244
1.00 --undefined-- 68.976
1.25 219.191 76.236
1.50 --undefined-- 68.770
1.75 --undefined-- 69.388
2.00 --undefined-- 72.378
pause_14.mp3
0.25 --undefined-- 83.017
0.50 198.134 81.084
0.75 --undefined-- 71.195
1.00 --undefined-- 71.001
1.25 --undefined-- 70.219
1.50 --undefined-- 69.234
1.75 --undefined-- 70.457
2.00 --undefined-- 69.960
2.25 --undefined-- 68.991
2.50 --undefined-- 69.660
2.75 --undefined-- 69.150
3.00 --undefined-- 68.747
3.25 --undefined-- 68.488
pause_15.mp3
0.25 --undefined-- 89.731
0.50 --undefined-- 87.088
0.75 282.534 85.419
pause_16.mp3
0.25 266.737 81.780
0.50 177.155 78.339
0.75 --undefined-- 72.876
1.00 --undefined-- 70.407
1.25 --undefined-- 72.622
1.50 --undefined-- 75.205
1.75 276.297 86.056
2.00 --undefined-- 80.915
2.25 --undefined-- 75.707
2.50 --undefined-- 74.772
2.75 --undefined-- 74.847
3.00 --undefined-- 73.389
3.25 --undefined-- 71.048
3.50 277.306 77.748
3.75 126.268 80.136
4.00 --undefined-- 72.307
4.25 --undefined-- 73.158
4.50 --undefined-- 70.060
4.75 --undefined-- 69.152
5.00 --undefined-- 69.878
5.25 --undefined-- 69.270
5.50 --undefined-- 69.440
5.75 --undefined-- 69.551
pause_17.mp3
0.25 --undefined-- 68.679
0.50 --undefined-- 80.935
0.75 --undefined-- 81.620
1.00 --undefined-- 83.961
1.25 --undefined-- 73.174
1.50 --undefined-- 69.770
1.75 --undefined-- 68.857
2.00 --undefined-- 70.131
2.25 --undefined-- 70.513
2.50 --undefined-- 69.018
2.75 --undefined-- 68.852
3.00 --undefined-- 68.557
3.25 --undefined-- 69.116
pause_18.mp3
0.25 --undefined-- 69.945
0.50 --undefined-- 69.223
0.75 --undefined-- 69.692
1.00 --undefined-- 68.877
pause_19.mp3
0.25 90.110 72.335
0.50 --undefined-- 69.212
0.75 --undefined-- 69.179
1.00 --undefined-- 72.866
1.25 --undefined-- 69.915
1.50 --undefined-- 69.995
1.75 --undefined-- 69.101
2.00 --undefined-- 70.062
pause_2.mp3
0.25 --undefined-- 68.119
0.50 --undefined-- 68.167
0.75 --undefined-- 68.180
1.00 --undefined-- 73.334
1.25 --undefined-- 69.454
1.50 --undefined-- 69.206
1.75 --undefined-- 68.853
2.00 --undefined-- 69.444
2.25 --undefined-- 69.188
2.50 --undefined-- 69.518
2.75 --undefined-- 68.894
pause_20.mp3
0.25 --undefined-- 82.837
0.50 259.913 87.581
0.75 --undefined-- 81.384
1.00 --undefined-- 72.386
1.25 --undefined-- 69.609
1.50 --undefined-- 69.719
1.75 --undefined-- 70.234
2.00 --undefined-- 70.357
2.25 --undefined-- 70.013
2.50 --undefined-- 69.065
pause_21.mp3
0.25 --undefined-- 75.796
0.50 --undefined-- 72.001
0.75 --undefined-- 70.661
1.00 --undefined-- 75.724
1.25 --undefined-- 70.202
1.50 251.833 78.692
1.75 --undefined-- 71.348
2.00 --undefined-- 74.218
2.25 --undefined-- 70.479
2.50 --undefined-- 69.461
2.75 --undefined-- 68.846
3.00 --undefined-- 69.099
3.25 --undefined-- 68.420
3.50 --undefined-- 68.921
3.75 --undefined-- 68.529
4.00 --undefined-- 68.543
pause_22.mp3
0.25 --undefined-- 75.719
0.50 --undefined-- 75.315
0.75 100.992 78.776
1.00 193.743 77.252
1.25 --undefined-- 82.151
1.50 152.700 81.517
1.75 --undefined-- 69.921
2.00 --undefined-- 68.812
2.25 --undefined-- 69.581
2.50 --undefined-- 69.435
2.75 --undefined-- 68.505
3.00 --undefined-- 69.299
pause_23.mp3
0.25 --undefined-- 73.138
0.50 --undefined-- 79.262
0.75 --undefined-- 70.719
1.00 --undefined-- 69.831
1.25 --undefined-- 69.741
1.50 --undefined-- 68.936
1.75 --undefined-- 68.946
2.00 --undefined-- 70.898
2.25 --undefined-- 69.837
pause_24.mp3
0.25 --undefined-- 67.537
0.50 --undefined-- 75.084
0.75 --undefined-- 71.511
1.00 --undefined-- 70.363
1.25 --undefined-- 78.455
1.50 --undefined-- 70.664
1.75 --undefined-- 69.207
2.00 --undefined-- 69.803
2.25 --undefined-- 69.926
2.50 --undefined-- 71.198
2.75 --undefined-- 70.938
3.00 --undefined-- 69.449
3.25 --undefined-- 70.582
3.50 217.223 76.840
3.75 --undefined-- 74.078
4.00 --undefined-- 67.971
4.25 --undefined-- 68.299
4.50 --undefined-- 69.275
4.75 --undefined-- 68.462
pause_25.mp3
0.25 --undefined-- 74.042
0.50 --undefined-- 82.765
0.75 170.002 84.220
1.00 --undefined-- 75.119
1.25 --undefined-- 82.694
1.50 --undefined-- 72.061
1.75 --undefined-- 69.539
2.00 --undefined-- 69.499
2.25 --undefined-- 69.046
2.50 --undefined-- 68.716
pause_26.mp3
0.25 --undefined-- 74.967
0.50 --undefined-- 76.805
0.75 --undefined-- 74.136
1.00 260.821 81.045
1.25 261.348 77.981
1.50 --undefined-- 72.289
1.75 --undefined-- 72.770
2.00 --undefined-- 72.753
2.25 --undefined-- 71.657
2.50 --undefined-- 69.788
2.75 --undefined-- 76.197
3.00 288.539 90.880
3.25 140.441 83.028
3.50 --undefined-- 78.214
pause_27.mp3
0.25 --undefined-- 90.110
0.50 --undefined-- 89.268
0.75 --undefined-- 84.908
1.00 --undefined-- 80.664
1.25 213.082 78.788
1.50 --undefined-- 77.140
1.75 202.422 80.811
2.00 --undefined-- 70.252
2.25 --undefined-- 68.764
2.50 --undefined-- 68.245
2.75 --undefined-- 69.955
3.00 --undefined-- 68.408
3.25 --undefined-- 68.239
pause_28.mp3
0.25 --undefined-- 80.245
0.50 --undefined-- 78.062
0.75 --undefined-- 70.987
1.00 --undefined-- 69.419
