/home/sharer/all_robot_comedy/robot_comedy/2018-10-27 Columbo Show/
1.25 --undefined-- 71.472
1.50 --undefined-- 69.039
1.75 --undefined-- 68.303
2.00 --undefined-- 68.989
2.25 --undefined-- 68.613
2.50 --undefined-- 67.740
pause_29.mp3
0.25 --undefined-- 77.925
0.50 --undefined-- 74.308
0.75 --undefined-- 69.123
1.00 --undefined-- 67.945
1.25 --undefined-- 74.459
1.50 --undefined-- 69.666
1.75 --undefined-- 73.297
2.00 --undefined-- 68.292
2.25 --undefined-- 68.199
2.50 --undefined-- 68.024
2.75 --undefined-- 68.953
3.00 --undefined-- 68.275
pause_3.mp3
0.25 --undefined-- 69.035
0.50 --undefined-- 69.003
0.75 --undefined-- 67.862
1.00 --undefined-- 68.247
1.25 --undefined-- 73.030
1.50 220.468 74.407
1.75 201.390 82.180
2.00 --undefined-- 74.035
2.25 --undefined-- 69.252
2.50 --undefined-- 68.095
2.75 --undefined-- 68.714
3.00 --undefined-- 71.052
3.25 228.808 80.290
pause_30.mp3
0.25 --undefined-- 69.050
0.50 --undefined-- 69.075
0.75 --undefined-- 69.954
1.00 --undefined-- 68.354
1.25 --undefined-- 68.273
1.50 --undefined-- 69.366
1.75 --undefined-- 70.009
2.00 --undefined-- 70.205
2.25 --undefined-- 68.292
2.50 --undefined-- 72.287
2.75 --undefined-- 69.547
3.00 --undefined-- 68.205
3.25 --undefined-- 68.860
3.50 --undefined-- 68.867
3.75 --undefined-- 69.231
pause_31.mp3
0.25 --undefined-- 72.260
0.50 --undefined-- 69.809
0.75 --undefined-- 70.991
1.00 --undefined-- 68.957
1.25 --undefined-- 69.066
1.50 --undefined-- 69.416
1.75 --undefined-- 68.851
2.00 --undefined-- 68.862
2.25 --undefined-- --undefined--
pause_32.mp3
0.25 --undefined-- 68.750
0.50 --undefined-- 68.262
0.75 --undefined-- 69.014
1.00 --undefined-- 68.465
1.25 --undefined-- 69.222
1.50 --undefined-- 68.082
1.75 --undefined-- 68.223
2.00 --undefined-- 68.906
2.25 --undefined-- 68.572
pause_33.mp3
0.25 --undefined-- 68.230
0.50 --undefined-- 75.001
0.75 --undefined-- 78.439
1.00 298.205 89.521
1.25 --undefined-- 76.650
1.50 --undefined-- 68.504
1.75 --undefined-- 68.225
2.00 --undefined-- 68.664
2.25 --undefined-- 68.258
pause_34.mp3
0.25 --undefined-- 68.913
0.50 --undefined-- 69.862
pause_35.mp3
0.25 --undefined-- 68.900
0.50 --undefined-- 69.389
0.75 --undefined-- 68.764
1.00 --undefined-- 69.189
1.25 --undefined-- 72.262
1.50 --undefined-- 68.278
1.75 --undefined-- 69.817
2.00 --undefined-- 69.759
2.25 --undefined-- 68.420
2.50 --undefined-- 68.982
pause_36.mp3
0.25 --undefined-- 86.635
0.50 --undefined-- 81.649
0.75 --undefined-- 84.515
1.00 --undefined-- 88.464
1.25 --undefined-- 89.384
1.50 --undefined-- 86.590
1.75 --undefined-- 85.596
2.00 --undefined-- 81.337
2.25 --undefined-- 82.609
2.50 --undefined-- 90.175
2.75 --undefined-- --undefined--
pause_4.mp3
0.25 --undefined-- 69.062
0.50 242.449 86.708
0.75 --undefined-- 88.263
1.00 --undefined-- 85.797
1.25 --undefined-- 84.412
pause_5.mp3
0.25 227.407 76.939
0.50 --undefined-- 79.821
0.75 --undefined-- 80.487
1.00 --undefined-- 83.154
1.25 --undefined-- 75.575
1.50 --undefined-- 70.007
1.75 --undefined-- 68.806
2.00 --undefined-- 69.776
2.25 --undefined-- 70.035
2.50 --undefined-- 73.938
pause_6.mp3
0.25 --undefined-- 70.463
0.50 --undefined-- 74.201
0.75 --undefined-- 69.356
1.00 --undefined-- 72.335
1.25 271.246 72.631
1.50 --undefined-- 70.572
1.75 --undefined-- 72.057
2.00 --undefined-- 69.906
2.25 83.062 75.957
2.50 --undefined-- 72.472
2.75 --undefined-- 73.203
3.00 156.390 83.765
3.25 --undefined-- 71.448
3.50 --undefined-- 73.211
3.75 --undefined-- 73.690
4.00 --undefined-- 69.848
4.25 --undefined-- 70.233
4.50 --undefined-- 69.802
4.75 --undefined-- 69.718
5.00 --undefined-- 69.290
pause_7.mp3
0.25 --undefined-- 69.635
0.50 --undefined-- 68.476
0.75 --undefined-- 72.885
1.00 --undefined-- 82.688
1.25 210.379 88.044
1.50 --undefined-- 89.404
1.75 --undefined-- 78.934
2.00 --undefined-- 73.662
pause_8.mp3
0.25 287.984 87.137
0.50 --undefined-- 87.224
0.75 94.174 86.497
1.00 --undefined-- 83.350
1.25 --undefined-- 80.700
1.50 235.260 84.830
1.75 --undefined-- 79.834
2.00 --undefined-- 74.792
2.25 --undefined-- 73.427
2.50 --undefined-- 72.816
2.75 --undefined-- 69.388
3.00 --undefined-- 69.103
3.25 --undefined-- 69.096
3.50 --undefined-- 68.454
pause_9.mp3
0.25 --undefined-- 81.803
0.50 --undefined-- 85.517
0.75 --undefined-- 86.325
1.00 --undefined-- 86.492
1.25 --undefined-- 86.184
1.50 228.908 79.681
1.75 --undefined-- 81.626
2.00 --undefined-- 78.658
2.25 --undefined-- 75.192
2.50 --undefined-- 75.759
2.75 --undefined-- 70.222
3.00 --undefined-- 69.417
3.25 --undefined-- 69.626
3.50 --undefined-- 69.541
3.75 --undefined-- 68.830
4.00 --undefined-- 69.479
