/home/sharer/all_robot_comedy/robot_comedy/2018-07-21 Pasadena Media/
2.00 --undefined-- 67.877
2.25 --undefined-- 67.572
2.50 --undefined-- 68.266
2.75 --undefined-- 67.904
3.00 --undefined-- 68.678
3.25 --undefined-- 67.027
3.50 --undefined-- 68.216
3.75 --undefined-- 67.461
4.00 --undefined-- 67.862
4.25 --undefined-- 67.820
4.50 --undefined-- 67.729
4.75 --undefined-- 68.586
5.00 --undefined-- 68.627
pause_5.mp3
0.25 260.623 83.019
0.50 253.165 80.145
0.75 --undefined-- 79.192
1.00 --undefined-- 77.345
1.25 --undefined-- 70.415
1.50 --undefined-- 67.477
1.75 --undefined-- 68.444
2.00 --undefined-- 67.742
2.25 --undefined-- 68.157
2.50 --undefined-- 67.583
pause_6.mp3
0.25 --undefined-- 66.913
0.50 --undefined-- 73.848
0.75 --undefined-- 78.760
1.00 --undefined-- 76.326
1.25 228.141 76.353
1.50 --undefined-- 70.005
1.75 --undefined-- 68.246
2.00 --undefined-- 67.221
2.25 --undefined-- 68.359
2.50 --undefined-- 67.640
2.75 --undefined-- 67.936
3.00 --undefined-- 67.523
3.25 --undefined-- 69.538
pause_7.mp3
0.25 --undefined-- 74.753
0.50 --undefined-- 69.470
0.75 --undefined-- 72.674
1.00 --undefined-- 67.434
1.25 --undefined-- 68.052
1.50 --undefined-- 67.582
1.75 --undefined-- 67.724
2.00 --undefined-- 68.360
2.25 --undefined-- --undefined--
pause_8.mp3
0.25 --undefined-- 67.593
0.50 --undefined-- 69.740
0.75 --undefined-- 71.386
1.00 --undefined-- 77.120
1.25 --undefined-- 70.673
1.50 --undefined-- 69.538
1.75 --undefined-- 67.642
2.00 --undefined-- 66.619
2.25 --undefined-- 67.268
2.50 --undefined-- 66.806
2.75 --undefined-- 66.907
3.00 --undefined-- 68.724
pause_9.mp3
0.25 --undefined-- 67.552
0.50 --undefined-- 69.644
0.75 --undefined-- 71.879
1.00 191.588 75.976
1.25 --undefined-- 69.084
1.50 --undefined-- 68.797
1.75 --undefined-- 67.750
2.00 --undefined-- 67.949
2.25 --undefined-- 67.732
