/home/sharer/all_robot_comedy/robot_comedy/2018-12-8 Columbo Show/
0.50 236.216 80.707
0.75 --undefined-- 85.062
1.00 219.976 92.311
1.25 --undefined-- 89.796
1.50 --undefined-- 85.188
1.75 --undefined-- 80.700
2.00 --undefined-- 77.086
2.25 --undefined-- 72.978
2.50 203.566 73.366
2.75 188.277 74.090
3.00 --undefined-- 69.919
3.25 --undefined-- 69.210
3.50 --undefined-- 68.197
3.75 --undefined-- 67.401
4.00 --undefined-- 68.447
pause_25.mp3
0.25 --undefined-- 69.336
0.50 --undefined-- 73.128
0.75 299.770 90.669
1.00 --undefined-- 91.460
1.25 --undefined-- 89.455
1.50 77.908 85.712
1.75 --undefined-- 75.572
2.00 --undefined-- 76.276
2.25 --undefined-- 70.407
2.50 --undefined-- 68.797
2.75 195.715 75.205
3.00 --undefined-- 69.790
3.25 --undefined-- 73.817
3.50 --undefined-- 70.434
3.75 --undefined-- 69.655
4.00 --undefined-- 69.341
4.25 --undefined-- 69.383
4.50 --undefined-- 68.792
4.75 --undefined-- 68.765
5.00 --undefined-- --undefined--
pause_26.mp3
0.25 211.220 89.920
0.50 --undefined-- 90.825
0.75 --undefined-- 90.233
1.00 295.479 84.775
1.25 --undefined-- 83.637
1.50 --undefined-- 76.500
1.75 --undefined-- 72.181
2.00 --undefined-- 83.769
2.25 --undefined-- 88.711
2.50 79.871 92.308
2.75 77.923 93.027
pause_3.mp3
0.25 --undefined-- 69.339
0.50 179.416 79.402
0.75 --undefined-- 81.224
1.00 --undefined-- 89.485
1.25 --undefined-- 90.473
1.50 --undefined-- 91.423
1.75 --undefined-- 87.389
pause_4.mp3
0.25 --undefined-- 70.682
0.50 --undefined-- 68.513
0.75 --undefined-- 69.923
1.00 --undefined-- 68.782
1.25 --undefined-- 68.444
1.50 --undefined-- 68.180
pause_5.mp3
0.25 --undefined-- 74.012
0.50 --undefined-- 71.513
0.75 --undefined-- 67.645
1.00 --undefined-- 69.183
1.25 --undefined-- 68.577
1.50 --undefined-- 69.884
1.75 --undefined-- 74.268
2.00 --undefined-- 70.773
2.25 --undefined-- 70.097
2.50 --undefined-- 68.757
2.75 --undefined-- 68.683
3.00 --undefined-- 68.873
3.25 --undefined-- 67.822
3.50 --undefined-- --undefined--
pause_6.mp3
0.25 --undefined-- 68.535
0.50 --undefined-- 69.030
0.75 --undefined-- 67.946
